customer_id,customer_code,customer_name,customer_level,customer_type,industry_type,industry,city,province,address,contact_person,contact_phone,contact_email,status
10001,CUST-10001,Sample Business Label ad6a7310,T3,SMB,Sample Business Label 6f9019a1,Sample Business Label 34cd8b7f,Sample Business Label 15ef4634,Sample Business Label 15ef4634,Sample Business Label 6ae09710,Sample Business Label 45b250c6,15564258623,contact_0cde7331@example.com,Active
10004,CUST-10004,Sample Business Label 9ade495d,T3,Enterprise,Sample Business Label 6f9019a1,Sample Business Label a72cac6b,Sample Business Label 3feaed4e,Sample Business Label 99c454c7,Sample Business Label 64d46df9,Sample Business Label 742994b5,18729859514,contact_6d0b5468@example.com,Active
10007,CUST-10007,Sample Business Label 1c37be0a,T1,Enterprise,Sample Business Label 6f9019a1,Sample Business Label a72cac6b,Sample Business Label 19e67fdb,Sample Business Label 234a7010,Sample Business Label 2b8de0ac,Sample Business Label d6e240a8,18800327403,contact_d769c3c5@example.com,Active
10010,CUST-10010,Sample Business Label 0927c808,T2,Enterprise,Sample Business Label 6f9019a1,Sample Business Label 8015b572,Sample Business Label d9c54797,Sample Business Label d9c54797,Sample Business Label e2dc15e1,Sample Business Label 01f6470a,14702420256,contact_9b8a68cf@example.com,Active
10013,CUST-10013,Sample Business Label 8041c5b9,T3,Enterprise,Sample Business Label 6f9019a1,Sample Business Label 38fcc7b8,Sample Business Label e6348d38,Sample Business Label e6348d38,Sample Business Label 1b6829b0,Sample Business Label 6898f11d,11010538452,contact_3d491f33@example.com,Active
10016,CUST-10016,Sample Business Label 8923480f,T2,SMB,Sample Business Label 6f9019a1,Sample Business Label 34cd8b7f,Sample Business Label a23a6edd,Sample Business Label 8a591c99,Sample Business Label 399aa621,Sample Business Label 33930d27,12413708580,contact_387f2d12@example.com,Active
10019,CUST-10019,Sample Business Label 666ec7a8,T2,Enterprise,Sample Business Label 6f9019a1,Sample Business Label 34cd8b7f,Sample Business Label 8b5e0e6f,Sample Business Label aab01ad3,Sample Business Label 55c30fef,Sample Business Label e90fb945,11631198440,contact_5046309b@example.com,Active
10022,CUST-10022,Sample Business Label c5f17184,T3,Enterprise,Sample Business Label 6f9019a1,Sample Business Label a72cac6b,Sample Business Label 15ef4634,Sample Business Label 15ef4634,Sample Business Label 6ae09710,Sample Business Label b4398031,16108928280,contact_f69b4ea1@example.com,Active
10025,CUST-10025,Sample Business Label a7eb610f,T1,Enterprise,Sample Business Label 6f9019a1,Sample Business Label 38fcc7b8,Sample Business Label 8b5e0e6f,Sample Business Label aab01ad3,Sample Business Label 55c30fef,Sample Business Label 82ebbe96,17012110802,contact_30ce3a37@example.com,Active
10028,CUST-10028,Sample Business Label d203f74f,T1,Enterprise,Sample Business Label 6f9019a1,Sample Business Label 38fcc7b8,Sample Business Label d9c54797,Sample Business Label d9c54797,Sample Business Label e2dc15e1,Sample Business Label cfe77e1a,12712110141,contact_448b4d1d@example.com,Active
